LOCATION,TOWN,STATUS,SIZE_,LINKTOPHOTO
Standish Ashfield Park,Standish,Closed,23.37 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00016Part07.jpg
Wigan Gidlow Cemetery,Wigan,Closed,27.21 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00122Part03.jpg
Tyldesley Public Conveniences,Tyldesley,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00662Part01.jpg
Atherton Outdoor Market,Atherton,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00035Part01.jpg
Leigh Pennington Flash Country Park,Leigh,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00311Part01.jpg
Pennington Hall Park Pavilion Stores,Leigh,Operational,39.44 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00312Part03.jpg
Leigh Cemetery and Lodge Lane Playing Field,Leigh,Operational,90.39 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00214Part04.jpg
Leigh Spinning Gate Car Park,Leigh,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00627Part03.jpg
Leigh Bus Station Public Conveniences,Leigh,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00742Part01.jpg
Orrell Water Park Reservoir House,Orrell,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00301Part05.jpg
Wigan Haigh Hall and Haigh Country Park,Wigan,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00145Part02.jpg
Atherton Public Conveniences,Atherton,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00632Part01.jpg
Leigh Lilford Park Pavilion,Leigh,Operational,33.59 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00237Part02.jpg
Hindley Outdoor Market,Hindley,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00173Part02.jpg
Hindley Public Conveniences,Hindley,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00727Part01.jpg
Hindley Leyland Park Pavilion Depot,Hindley,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00236Part01.jpg
Hindley Platt Lane Park Pavilion,Hindley,Operational,14.40 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00319Part04.jpg
Lower Ince Cemetery and Wigan Crematorium,Wigan,Operational,10.56 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00514Part03.jpg
Pemberton White Street Public Conveniences,Wigan,Closed, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00598Part01.jpg
Wigan Alexandra Park Pavilion,Wigan,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00011Part01.jpg
Wigan Pier,Wigan,Closed, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00530Part07.jpg
Ashton Outdoor Market,Ashton-In-Makerfield,Operational,31.03 sq m,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00018Parts08and09.jpg
Ashton Jubilee Park Pavilion Depot,Ashton-In-Makerfield,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00197Part02.jpg
Ashton Public Conveniences,Ashton-In-Makerfield,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00631Part01.jpg
Ashton Three Sisters Recreation Area,Ashton-In-Makerfield,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00484Part02.jpg
Great Acre Park Bowling Green House,Wigan,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00137Part01.jpg
Wigan Mesnes Park Cafe Pavilion,Wigan,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00270Part07.jpg,
Wigan Bus Station Public Conveniences,Wigan,Operational, ,https://www.wigan.gov.uk/Images/MapsGIS/PublicConveniences/URN00938Part01.jpg
